SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532916,BARAK VALL  ,T ,Q,18.30,18.80,17.65,17.90,17.90,18.40,15,4094,75000.00,
532918,RATHI BARS  ,X ,Q,17.60,17.75,17.50,17.50,17.50,16.95,71,40568,715250.00,
532921,ADANI PORTS ,A ,Q,859.95,885.00,795.00,814.30,814.30,837.45,114761,4950706,4136619664.00,
532922,EDELWEISS   ,A ,Q,68.90,72.00,68.80,71.45,71.45,68.90,780,107414,7551764.00,
532923,RGL         ,B ,Q,329.00,329.95,316.00,323.40,323.40,322.40,725,5716,1853179.00,
532924,KOLTEPATIL  ,A ,Q,240.00,252.00,239.10,243.10,243.40,237.85,891,18855,4661401.00,
532925,KAUSHAL INFR,B ,Q,1.60,1.68,1.53,1.68,1.68,1.60,11,10299,16602.00,
532926,JYOTHYLAB   ,A ,Q,142.50,143.40,142.00,142.60,142.85,142.20,592,13822,1971760.00,
532927,ECLERX      ,A ,Q,1142.00,1163.05,1112.00,1139.55,1139.55,1136.30,893,5216,5960350.00,
532928,TRIL        ,B ,Q,16.95,17.75,16.55,17.35,17.45,17.10,95,29414,506719.00,
532929,BRIGADE     ,A ,Q,263.60,274.10,261.50,266.95,265.10,263.60,271,3991,1068220.00,
532930,BGR ENERGY  ,B ,Q,44.00,44.25,43.60,43.75,43.60,43.70,145,11179,491014.00,
532931,BURNPUR     ,T ,Q,2.31,2.47,2.26,2.27,2.26,2.37,27,27436,63843.00,
532932,MANAKSIA LTD,B ,Q,55.80,55.80,49.00,51.55,51.70,51.30,181,8892,460530.00,
532933,PORWAL AUTO ,X ,Q,16.30,17.00,15.75,17.00,17.00,16.20,45,11074,184905.00,
532934,PPAP        ,B ,Q,201.50,202.00,195.70,197.90,198.55,200.50,309,4143,821649.00,
532935,ARIES AGRO  ,B ,Q,83.60,87.00,82.30,83.65,84.00,82.75,119,4158,352914.00,
532937,KUANTUM     ,B ,Q,65.50,67.00,63.65,64.45,64.35,65.25,60,2202,143899.00,
532939,RPOWER      ,A ,Q,5.09,5.10,4.80,4.87,4.87,5.02,5474,11412909,56660114.00,
532940,J KUMAR INFR,A ,Q,188.00,188.00,182.00,183.85,183.50,181.25,159,4432,816611.00,
532941,CORDS CABLE ,B ,Q,40.95,42.45,39.50,42.20,42.20,40.95,127,12059,506936.00,
